DN (red),DN (blue),DN (green),MC
90.51481481,78.16296296,59.79259259,2.400738689
85.62037037,74.97962963,59.55185185,2.287282708
81.64814815,71.19444444,57.24074074,3.199268739
82.82222222,68.90185185,50.40740741,4.67032967
73.8537037,58,40.90925926,5.909510619
62.10740741,50.33888889,37.83888889,3.896103896
65.47222222,53.86666667,40.59074074,7.791017415
51.87407407,42.08518519,31.98333333,8.348623853
52.57592593,43.94814815,35.28333333,10.28466483
49.44814815,39.60740741,31.02777778,10.18518519
50.62037037,44.42592593,33.14444444,12.66294227
45.16481481,36.59444444,28.84074074,12.62672811
47.68703704,39.73148148,31.5462963,13.25966851
51.80555556,40.81666667,30.69444444,15.48387097
43.72962963,36.50185185,30.36111111,15.04178273
43.95185185,36.33888889,28.41666667,17.75700935
46.3962963,37.82222222,31.03703704,17.48381129
64.65740741,56.54814815,47.72592593,18.20702403
43.35185185,37.91851852,32.32592593,19.98149861
37.56111111,30.11481481,27.22407407,21.24883504
40.84074074,32.58518519,26.88518519,22.98311445
46.5037037,40.70740741,32.23703704,22.52085264
44.80185185,38.12592593,31.95,23.26227989
44.44259259,36.54259259,31.12592593,24.69823584
47.56851852,40.21111111,33.91666667,26.68539326
58.24074074,49.7537037,40.28703704,28.44990548
69.39814815,60.75740741,52.45,27.77260019
72.41481481,60.44814815,49.32592593,28.23858341
64.85185185,57.08148148,48.54074074,30.24344569
60.48333333,48.05740741,37.43518519,33.80547686
