DN (Hue),DN (Saturation),DN (Value),MC
35.77263526,34.19185253,35.49600581,2.400738689
35.32544543,31.01486777,33.57661583,2.287282708
34.13304182,30.30451982,32.01888163,3.199268739
34.07940297,39.66706609,32.47930283,4.67032967
31.06801582,45.49056458,28.96223675,5.909510619
30.62165139,40.01910823,24.35584604,3.896103896
31.74623142,38.73216908,25.67538126,7.791017415
30.46319897,39.15762747,20.34785766,8.348623853
45.27305148,32.97499155,20.62599855,10.28466483
32.07140176,37.4029649,19.39143065,10.18518519
42.94467662,35.0057609,19.89106754,12.66294227
43.76719656,36.13590954,17.7336093,12.62672811
49.47959222,33.99921183,18.73638344,13.25966851
32.924017,41.15921905,20.33260712,15.48387097
55.80922051,30.72598462,17.17515614,15.04178273
43.94710341,35.38491279,17.22775599,17.75700935
44.91892197,34.0999588,18.18399419,17.48381129
37.03687114,26.42847685,25.39433551,18.20702403
69.51615103,27.26315622,17.11429194,19.98149861
89.765569,29.46129918,14.74001452,21.24883504
58.38446553,34.70742499,16.01690632,22.98311445
47.9987055,31.08021345,18.25748729,22.52085264
48.53366412,29.5049987,17.53635439,23.26227989
51.99605614,30.37848918,17.41218591,24.69823584
53.35848765,29.36528683,18.61984023,26.68539326
34.16091064,31.33755649,22.83950617,28.44990548
31.4074553,25.02696614,27.21496006,27.77260019
28.6222972,32.18659779,28.39796659,28.23858341
34.29173291,25.68553571,25.4335512,30.24344569
28.19520225,38.6836947,23.71968046,33.80547686
